City_ID,City Name,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind Speed,Country
0,hermanus,-34.4187,19.2345,73.0,83,74,8.99,ZA
1,kralendijk,12.15,-68.2667,77.0,20,78,8.05,BQ
2,tera,14.0078,0.7531,80.2,24,16,5.64,NE
3,dikson,73.5069,80.5464,-22.32,100,88,8.97,RU
4,mataura,-46.1927,168.8643,55.99,93,79,11.01,NZ
5,puerto ayora,-0.7393,-90.3518,79.0,96,92,1.59,EC
6,albany,42.6001,-73.9662,36.0,44,61,3.71,US
7,fairbanks,64.8378,-147.7164,25.0,75,68,1.36,US
8,kapaa,22.0752,-159.319,71.6,90,94,20.71,US
9,vardo,70.3705,31.1107,6.8,20,78,11.5,NO
10,nome,64.5011,-165.4064,19.4,90,86,13.8,US
11,arraial do cabo,-22.9661,-42.0278,76.17,100,86,11.32,BR
12,phalodi,27.1333,72.3667,83.71,0,15,5.68,IN
13,verkhoyansk,67.5447,133.385,14.0,100,87,20.54,RU
14,upernavik,72.7868,-56.1549,8.74,100,83,3.0,GL
15,barrow,71.2906,-156.7887,1.4,1,66,6.91,US
16,ribeira grande,38.5167,-28.7,60.94,100,89,17.34,PT
17,saint-philippe,-21.3585,55.7679,82.99,75,57,4.61,RE
18,tasiilaq,65.6145,-37.6368,13.03,100,95,4.09,GL
19,hofn,64.2539,-15.2082,38.97,100,77,27.83,IS
20,lorengau,-2.0226,147.2712,85.46,57,69,9.44,PG
21,dingle,10.9995,122.6711,84.7,57,63,16.22,PH
22,atuona,-9.8,-139.0333,79.66,46,75,19.35,PF
23,bogande,12.9714,-0.1436,77.7,30,18,3.47,BF
24,busselton,-33.65,115.3333,90.0,96,45,4.0,AU
25,rikitea,-23.1203,-134.9692,80.58,11,80,15.52,PF
26,sola,-13.8833,167.55,84.2,90,84,6.2,VU
27,touros,-5.1989,-35.4608,77.0,20,83,4.61,BR
28,anadyr,64.75,177.4833,-14.01,0,53,2.24,RU
29,daru,-9.0763,143.2092,79.45,100,81,3.2,PG
30,lagos,6.5833,3.75,80.1,100,84,4.7,NG
31,manzil salim,35.8567,8.4765,44.6,75,87,5.75,TN
32,hobart,-42.8794,147.3294,73.0,40,42,12.66,AU
33,bethel,41.3712,-73.414,37.0,1,80,4.36,US
34,luderitz,-26.6481,15.1594,62.17,0,71,4.97,NA
35,sinnamary,5.3833,-52.95,77.18,100,86,11.81,GF
36,punta arenas,-53.15,-70.9167,53.6,40,71,10.36,CL
37,ambunti,-4.2365,142.8448,89.04,89,59,4.56,PG
38,ponta do sol,32.6667,-17.1,55.0,5,61,5.01,PT
39,hambantota,6.1241,81.1185,78.8,40,94,4.61,LK
40,hithadhoo,-0.6,73.0833,83.8,58,63,3.96,MV
41,praxedis guerrero,31.3667,-106.0167,69.8,75,24,9.22,MX
42,bulembu,-25.9667,31.1333,71.01,0,78,2.3,SZ
43,bambous virieux,-20.3428,57.7575,82.99,40,74,8.05,MU
44,san patricio,28.017,-97.5169,69.8,40,82,19.57,US
45,santa cruz,-17.8,-63.1667,73.4,0,94,2.3,BO
46,severo-kurilsk,50.6789,156.125,31.6,100,94,18.81,RU
47,new norfolk,-42.7826,147.0587,73.0,22,43,3.0,AU
48,castro,-24.7911,-50.0119,55.24,2,92,2.98,BR
49,kodiak,57.79,-152.4072,35.6,90,80,10.36,US
50,ushuaia,-54.8,-68.3,53.6,75,58,3.44,AR
51,jamestown,42.097,-79.2353,39.2,1,65,5.44,US
52,voh,-20.9667,164.7,82.94,27,64,7.11,NC
53,coihaique,-45.5752,-72.0662,52.14,81,86,4.63,CL
54,klaksvik,62.2266,-6.589,42.8,90,100,26.46,FO
55,victoria,22.2855,114.1577,70.0,72,76,1.01,HK
56,leopold,-38.1833,144.4667,69.8,46,49,11.5,AU
57,vagur,61.4732,-6.8119,43.07,57,79,45.43,FO
58,boden,65.8252,21.6886,-7.6,90,84,2.3,SE
59,jati,24.3539,68.2671,78.17,0,47,10.67,PK
60,galveston,29.3669,-94.9669,64.4,40,88,13.8,US
61,frontera,26.9333,-101.45,70.05,95,56,3.04,MX
62,okhotsk,59.3833,143.3,1.2,0,81,1.41,RU
63,san cristobal,7.7669,-72.225,66.38,90,87,0.98,VE
64,akyab,20.15,92.9,81.48,0,39,4.68,MM
65,narsaq,60.9167,-46.05,23.0,90,50,6.91,GL
66,chokurdakh,70.6333,147.9167,-10.53,30,88,10.51,RU
67,kaitangata,-46.2817,169.8464,57.99,99,77,11.01,NZ
68,hilo,19.7297,-155.09,73.4,75,83,6.91,US
