,City Name,Country,Latitude,Longitude,Hotel
42,bulembu,SZ,-25.9667,31.1333,
45,santa cruz,BO,-17.8,-63.1667,
109,salalah,OM,17.0151,54.0924,
122,pokhara,NP,28.2333,83.9833,
180,kidal,ML,18.4411,1.4078,
181,pisco,PE,-13.7,-76.2167,
186,east london,ZA,-33.0153,27.9116,
194,simao,CN,22.7886,100.9748,
210,belmonte,BR,-15.8631,-38.8828,
221,tansen,NP,27.8673,83.5467,
267,biu,NG,10.6129,12.1946,
269,lazaro cardenas,MX,17.9583,-102.2,
318,gashua,NG,12.870999999999999,11.0482,
368,bitkine,TD,11.9801,18.2138,
372,ati,TD,13.2154,18.3353,
400,dzilam gonzalez,MX,21.2833,-88.9333,
423,mushie,CD,-3.0167,16.9,
465,fowa,NG,8.9167,6.4,
481,tahoua,NE,14.8888,5.2692,
493,neuquen,AR,-38.9516,-68.0591,
505,juba,SS,4.8517,31.5825,
528,ladario,BR,-19.0047,-57.6017,
561,beloha,MG,-25.1667,45.05,
572,morondava,MG,-20.2833,44.2833,
579,abu dhabi,AE,24.4667,54.3667,
581,florianopolis,BR,-27.6146,-48.5012,
